,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
13353,Procurement,region_22,Bachelor's,m,sourcing,1,45,4.0,3,0,0,66,0
13354,Sales & Marketing,region_19,Bachelor's,m,other,1,37,2.0,4,1,0,50,0
13355,Sales & Marketing,region_3,Bachelor's,m,sourcing,1,41,5.0,7,1,0,48,0
13356,Sales & Marketing,region_7,Master's & above,m,other,1,38,5.0,7,0,0,48,0
13357,Analytics,region_28,Bachelor's,m,sourcing,1,30,3.0,4,0,0,91,0
13358,HR,region_22,Master's & above,m,other,1,35,3.0,7,0,0,52,0
13359,Operations,region_15,Bachelor's,m,sourcing,1,39,3.0,11,1,0,64,1
13360,R&D,region_4,Bachelor's,f,other,1,32,3.0,5,0,0,85,0
13361,Analytics,region_22,Bachelor's,m,sourcing,1,33,3.0,9,1,0,82,0
13362,Procurement,region_21,Bachelor's,m,other,1,27,1.0,3,0,0,66,0
13363,HR,region_2,Bachelor's,f,other,1,32,3.0,9,0,0,52,0
13364,Finance,region_20,Bachelor's,m,sourcing,1,27,1.0,1,0,0,57,0
13365,Operations,region_31,Master's & above,m,other,1,40,5.0,7,1,0,55,0
13366,Sales & Marketing,region_5,Master's & above,m,sourcing,1,32,2.0,6,0,0,47,0
13367,Sales & Marketing,region_21,Bachelor's,m,other,2,36,3.0,8,0,0,50,0
13368,Analytics,region_2,Bachelor's,m,sourcing,1,29,1.0,1,1,0,83,0
13369,Sales & Marketing,region_23,Bachelor's,m,other,6,30,4.0,2,0,0,49,0
13370,Analytics,region_2,Bachelor's,m,other,2,38,4.0,7,0,0,86,0
13371,Sales & Marketing,region_25,Bachelor's,m,sourcing,2,28,1.0,6,0,0,51,0
13372,Technology,region_2,Bachelor's,m,other,1,31,2.0,7,0,0,77,0
13373,Analytics,region_15,Master's & above,m,other,1,34,3.0,8,0,0,82,0
13374,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,22,5.0,2,0,0,51,0
13375,Sales & Marketing,region_20,Master's & above,m,other,1,39,4.0,5,0,0,51,0
13376,Technology,region_24,Bachelor's,m,sourcing,1,26,3.0,1,1,0,79,0
13377,Sales & Marketing,region_4,Bachelor's,m,sourcing,3,28,1.0,1,1,0,49,0
13378,Sales & Marketing,region_22,Master's & above,f,other,1,34,4.0,10,0,0,47,0
13379,HR,region_20,Bachelor's,m,sourcing,1,27,5.0,3,1,0,48,0
13380,Finance,region_2,Bachelor's,m,sourcing,1,34,1.0,7,0,0,56,0
13381,Analytics,region_20,Master's & above,m,other,1,36,5.0,7,0,0,87,0
13382,Procurement,region_2,Bachelor's,f,sourcing,1,55,1.0,22,0,0,66,0
13383,Technology,region_13,Bachelor's,m,other,1,34,3.0,5,0,0,80,0
13384,Procurement,region_7,Bachelor's,m,sourcing,1,33,3.0,7,0,0,69,0
13385,Procurement,region_2,Bachelor's,f,sourcing,1,35,3.0,4,0,0,82,1
13386,Operations,region_2,Master's & above,f,sourcing,1,41,3.0,14,0,0,61,0
13387,HR,region_10,Master's & above,m,other,1,31,5.0,7,1,0,51,1
13388,Sales & Marketing,region_7,Master's & above,f,other,4,39,1.0,7,0,0,51,0
13389,R&D,region_22,Master's & above,m,other,1,36,3.0,5,0,0,85,0
13390,Sales & Marketing,region_25,Master's & above,m,sourcing,1,32,2.0,7,0,0,57,0
13391,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,29,5.0,5,1,0,46,0
13392,Sales & Marketing,region_14,Bachelor's,m,other,1,40,4.0,2,1,0,54,1
13393,Operations,region_13,Master's & above,f,other,1,40,3.0,14,0,0,59,0
13394,Technology,region_22,Bachelor's,f,sourcing,1,24,1.0,1,0,0,78,0
13395,Operations,region_2,Master's & above,m,sourcing,1,40,3.0,14,0,0,61,0
13396,Finance,region_9,Bachelor's,m,sourcing,1,33,3.0,3,0,0,62,0
13397,R&D,region_9,Bachelor's,m,sourcing,1,31,3.0,5,1,0,82,1
13398,HR,region_2,Bachelor's,f,other,1,45,4.0,5,1,1,51,0
13399,Procurement,region_11,Bachelor's,m,other,1,33,2.0,7,0,0,70,0
13400,Sales & Marketing,region_6,Bachelor's,f,other,1,32,3.0,7,0,0,48,0
13401,Operations,region_11,Bachelor's,f,other,1,38,5.0,5,1,0,65,0
13402,Analytics,region_26,Bachelor's,m,other,1,30,4.0,5,0,0,83,0
13403,Finance,region_2,Bachelor's,f,other,1,27,2.0,2,0,0,60,0
13404,Sales & Marketing,region_2,Master's & above,m,sourcing,2,31,3.0,6,0,0,52,0
13405,Sales & Marketing,region_22,Master's & above,m,other,2,48,4.0,9,0,0,49,0
13406,Technology,region_16,Bachelor's,f,other,1,28,5.0,5,1,0,84,0
13407,Procurement,region_13,Master's & above,m,other,2,33,1.0,4,1,0,67,0
13408,Procurement,region_22,Bachelor's,m,sourcing,1,28,5.0,4,1,0,63,0
13409,Technology,region_31,Master's & above,m,other,1,30,4.0,4,1,0,83,0
13410,Analytics,region_16,Bachelor's,m,sourcing,1,33,1.0,3,0,0,83,0
13411,Sales & Marketing,region_32,Bachelor's,m,other,1,36,4.0,5,0,0,52,0
13412,Operations,region_22,Bachelor's,m,referred,1,32,5.0,4,1,0,60,0
13413,HR,region_22,Bachelor's,m,other,1,31,3.0,3,0,0,51,0
13414,HR,region_22,Master's & above,m,sourcing,1,33,5.0,8,0,0,48,0
13415,Technology,region_13,Master's & above,f,other,3,37,3.0,2,0,0,80,0
13416,Operations,region_8,Master's & above,f,other,1,36,5.0,8,1,0,63,0
13417,Sales & Marketing,region_24,Bachelor's,f,sourcing,1,30,3.0,3,0,0,49,0
13418,Sales & Marketing,region_2,Bachelor's,m,other,1,41,1.0,1,1,0,48,0
13419,Technology,region_2,Master's & above,m,other,1,56,1.0,16,0,0,82,0
13420,Sales & Marketing,region_2,Bachelor's,f,other,1,51,5.0,16,0,0,54,0
13421,Procurement,region_4,Bachelor's,f,other,1,29,3.0,4,0,0,68,0
13422,Operations,region_7,Bachelor's,f,sourcing,1,40,4.0,5,1,0,52,1
13423,Operations,region_22,Bachelor's,m,other,1,29,2.0,2,0,0,59,0
13424,Analytics,region_28,Bachelor's,m,sourcing,1,28,1.0,1,0,0,84,0
13425,Procurement,region_13,Bachelor's,f,other,1,33,4.0,7,0,0,69,0
13426,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,26,3.0,2,0,0,48,0
13427,Sales & Marketing,region_30,Bachelor's,m,other,1,26,1.0,1,0,0,53,0
13428,Procurement,region_7,Below Secondary,m,other,1,23,2.0,2,0,0,72,0
13429,Procurement,region_14,Bachelor's,m,other,2,33,1.0,5,0,0,68,0
13430,Operations,region_22,Bachelor's,m,sourcing,1,55,3.0,10,0,0,57,0
13431,Finance,region_7,Bachelor's,f,other,1,26,3.0,2,0,0,60,0
13432,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,35,4.0,4,1,0,48,0
13433,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,38,4.0,3,1,0,51,0
13434,Legal,region_22,Bachelor's,m,other,1,31,1.0,1,1,0,63,0
13435,Procurement,region_2,Bachelor's,m,other,1,47,3.0,12,1,0,68,0
13436,R&D,region_2,Bachelor's,m,other,3,28,1.0,1,0,0,85,0
13437,Sales & Marketing,region_28,Master's & above,m,other,1,32,3.0,7,0,0,65,1
13438,Technology,region_13,Bachelor's,f,sourcing,1,39,4.0,10,0,0,79,0
13439,Operations,region_11,Bachelor's,f,other,1,25,3.0,2,0,0,60,0
13440,Technology,region_19,Bachelor's,m,sourcing,1,34,3.0,5,1,0,76,0
13441,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,28,3.0,2,0,0,59,1
13442,Procurement,region_2,Bachelor's,m,other,4,28,3.0,2,0,0,65,0
13443,Sales & Marketing,region_4,Bachelor's,m,other,1,30,3.0,5,1,0,47,0
13444,Sales & Marketing,region_2,Bachelor's,f,other,2,21,1.0,2,0,0,46,0
13445,Procurement,region_17,Master's & above,f,other,1,33,5.0,7,1,0,67,0
13446,Operations,region_31,Master's & above,m,other,1,42,3.0,5,1,0,62,1
13447,Operations,region_2,Master's & above,m,other,1,39,5.0,3,1,0,55,1
13448,Operations,region_2,Master's & above,m,sourcing,2,40,1.0,7,1,0,55,0
13449,Sales & Marketing,region_4,Master's & above,m,other,1,38,5.0,4,0,0,48,0
13450,Technology,region_13,Bachelor's,m,other,1,24,5.0,3,0,0,78,0
13451,HR,region_2,Bachelor's,f,other,1,39,1.0,8,0,0,50,0
13452,Operations,region_13,Bachelor's,m,sourcing,1,42,4.0,6,0,0,59,0
13453,Technology,region_15,Master's & above,m,other,1,40,3.0,5,0,0,82,0
13454,Finance,region_2,Bachelor's,m,other,1,33,1.0,10,0,0,69,0
13455,R&D,region_22,Master's & above,m,other,1,41,4.0,11,1,0,86,0
13456,Operations,region_22,Master's & above,m,sourcing,1,34,3.0,5,0,0,60,0
13457,Procurement,region_2,Bachelor's,f,sourcing,1,34,5.0,7,1,0,71,1
13458,Procurement,region_13,Bachelor's,f,other,1,37,5.0,8,1,0,70,0
13459,Operations,region_30,Bachelor's,m,other,1,27,5.0,3,1,0,62,0
13460,Sales & Marketing,region_19,Bachelor's,m,sourcing,3,43,3.0,14,0,0,50,0
13461,Procurement,region_22,Bachelor's,m,sourcing,2,28,1.0,2,0,0,66,0
13462,Operations,region_6,Bachelor's,f,other,1,29,1.0,4,0,0,62,0
13463,Operations,region_27,Bachelor's,f,sourcing,2,36,1.0,4,1,1,63,1
13464,Operations,region_4,Bachelor's,f,other,1,39,3.0,4,1,0,59,0
13465,Technology,region_2,Bachelor's,m,sourcing,1,27,1.0,4,0,0,79,0
13466,Sales & Marketing,region_9,Master's & above,m,other,2,30,2.0,3,0,0,58,0
13467,HR,region_2,Bachelor's,m,other,1,34,1.0,9,0,0,53,0
13468,Procurement,region_2,Bachelor's,m,sourcing,2,35,3.0,6,1,1,70,1
13469,Sales & Marketing,region_4,Master's & above,m,other,1,30,4.0,5,0,0,50,0
13470,Analytics,region_2,Bachelor's,m,sourcing,1,46,5.0,6,1,0,88,0
13471,Procurement,region_2,Bachelor's,m,sourcing,3,34,3.0,4,0,0,72,0
13472,Analytics,region_29,Bachelor's,m,other,1,32,5.0,9,1,0,87,0
13473,Technology,region_13,Bachelor's,f,sourcing,2,31,3.0,7,0,0,77,0
13474,HR,region_7,Master's & above,m,other,1,37,5.0,3,0,0,48,0
13475,Sales & Marketing,region_2,Master's & above,m,sourcing,4,33,1.0,6,0,0,46,0
13476,Operations,region_15,Bachelor's,f,sourcing,1,32,1.0,1,1,0,61,0
13477,Operations,region_22,Bachelor's,m,sourcing,1,24,3.0,2,0,0,65,0
13478,Sales & Marketing,region_26,Master's & above,m,sourcing,1,49,3.0,4,1,0,48,0
13479,Sales & Marketing,region_27,Bachelor's,m,sourcing,3,30,1.0,4,0,0,50,0
13480,Operations,region_7,Master's & above,f,other,1,51,3.0,9,0,0,56,0
13481,Procurement,region_14,Master's & above,f,other,1,41,5.0,2,0,0,78,1
13482,Operations,region_14,Bachelor's,f,other,2,29,3.0,2,0,0,59,0
13483,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,28,1.0,1,0,0,44,0
13484,Analytics,region_26,Bachelor's,m,other,1,27,3.0,6,1,0,87,0
13485,Procurement,region_7,Bachelor's,m,sourcing,1,53,3.0,3,0,0,69,0
13486,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,35,5.0,5,1,0,47,0
13487,Technology,region_15,Bachelor's,m,other,1,32,3.0,4,1,1,79,0
13488,Procurement,region_10,Bachelor's,m,other,2,32,3.0,5,0,0,73,0
13489,HR,region_2,Master's & above,m,other,1,40,1.0,9,0,0,45,0
13490,Sales & Marketing,region_26,Bachelor's,m,other,1,42,5.0,7,0,0,46,0
13491,HR,region_30,Bachelor's,m,other,1,27,3.0,4,0,0,53,0
13492,Sales & Marketing,region_21,Bachelor's,m,other,1,28,1.0,1,0,0,61,1
13493,Procurement,region_14,Bachelor's,f,other,1,30,4.0,3,1,0,71,0
13494,R&D,region_2,Bachelor's,m,other,1,39,5.0,6,1,0,83,0
13495,Analytics,region_11,Master's & above,m,other,1,33,3.0,7,0,0,89,0
13496,Technology,region_22,Bachelor's,f,other,1,25,1.0,1,1,0,77,0
13497,Sales & Marketing,region_2,Bachelor's,m,other,1,50,5.0,4,1,0,50,0
13498,Operations,region_34,Bachelor's,m,other,1,30,4.0,5,0,0,56,0
13499,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,1.0,5,0,0,48,0
13500,Sales & Marketing,region_1,Master's & above,f,other,1,39,3.0,5,0,0,54,0
13501,Operations,region_30,Bachelor's,f,sourcing,1,27,1.0,1,0,0,55,0
13502,Analytics,region_31,Bachelor's,m,other,1,38,3.0,7,0,0,85,0
13503,Operations,region_12,Bachelor's,f,sourcing,1,33,2.0,4,0,0,57,0
13504,Sales & Marketing,region_10,Master's & above,m,other,1,31,1.0,4,0,0,52,0
13505,Analytics,region_28,Bachelor's,m,sourcing,1,29,3.0,2,0,0,85,0
13506,Operations,region_15,Master's & above,m,other,1,40,5.0,6,1,0,61,1
13507,Procurement,region_7,Master's & above,f,other,1,31,3.0,5,0,0,72,0
13508,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,23,4.0,2,0,0,51,0
13509,Operations,region_7,Bachelor's,m,sourcing,1,26,1.0,1,1,0,57,0
13510,Finance,region_2,Bachelor's,m,sourcing,3,30,3.0,4,0,0,59,0
13511,Technology,region_6,Bachelor's,m,other,1,24,1.0,1,1,0,81,0
13512,Operations,region_31,Bachelor's,m,sourcing,1,40,5.0,13,1,0,64,0
13513,Sales & Marketing,region_2,Bachelor's,f,other,1,33,3.0,5,0,0,46,0
13514,Procurement,region_22,Master's & above,f,sourcing,1,38,4.0,7,1,0,72,0
13515,Analytics,region_2,Bachelor's,m,other,4,40,5.0,5,1,0,88,0
13516,Finance,region_26,Bachelor's,m,other,2,25,1.0,1,0,0,58,0
13517,Procurement,region_13,Master's & above,m,other,1,49,4.0,7,0,0,70,0
13518,Procurement,region_2,Master's & above,f,other,1,59,4.0,31,1,0,69,0
13519,HR,region_22,Bachelor's,f,other,1,30,3.0,8,0,0,53,0
13520,Procurement,region_13,Master's & above,m,sourcing,1,34,3.0,6,0,0,67,0
13521,Sales & Marketing,region_4,Bachelor's,m,other,1,44,3.0,13,0,0,49,0
13522,Sales & Marketing,region_28,Bachelor's,f,other,1,33,1.0,6,0,0,54,0
13523,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,2.0,3,1,0,51,0
13524,Technology,region_2,Master's & above,f,referred,1,36,4.0,3,0,0,80,0
13525,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,35,5.0,8,1,0,51,0
13526,Procurement,region_2,Master's & above,f,other,1,50,3.0,14,0,0,72,0
13527,Analytics,region_22,Master's & above,m,other,2,35,2.0,9,0,0,91,0
13528,Procurement,region_2,Master's & above,m,sourcing,2,40,2.0,4,0,0,71,0
13529,Sales & Marketing,region_7,Bachelor's,f,other,1,28,3.0,3,0,0,48,0
13530,HR,region_25,Master's & above,m,other,1,35,5.0,5,1,0,46,1
13531,Sales & Marketing,region_22,Bachelor's,m,referred,1,29,5.0,3,0,0,44,0
13532,Finance,region_2,Bachelor's,f,other,2,43,4.0,6,0,0,62,0
13533,HR,region_22,Master's & above,m,sourcing,1,41,3.0,5,1,0,55,0
13534,Sales & Marketing,region_22,Bachelor's,m,other,2,26,1.0,2,0,0,54,0
13535,Sales & Marketing,region_31,Bachelor's,m,other,1,34,3.0,4,0,0,50,0
13536,Legal,region_22,Bachelor's,m,referred,3,30,5.0,2,1,0,64,0
13537,Analytics,region_15,Bachelor's,m,other,1,38,2.0,3,0,0,87,0
13538,Sales & Marketing,region_30,Bachelor's,f,other,1,32,1.0,9,0,0,45,0
13539,Sales & Marketing,region_16,Master's & above,m,other,1,36,4.0,3,1,0,52,0
13540,Analytics,region_13,Master's & above,m,other,1,33,4.0,3,0,0,84,0
13541,Technology,region_16,Master's & above,f,sourcing,2,44,1.0,6,0,0,81,0
13542,Procurement,region_2,Bachelor's,f,sourcing,2,53,3.0,8,1,0,70,0
13543,Operations,region_8,Master's & above,f,sourcing,1,35,5.0,10,1,0,61,0
13544,Technology,region_24,Bachelor's,m,other,1,35,3.0,3,1,0,84,0
13545,Operations,region_5,Bachelor's,m,other,1,43,5.0,12,0,0,61,0
13546,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,5.0,2,1,0,48,0
13547,Analytics,region_7,Master's & above,m,sourcing,1,45,3.0,3,1,0,90,0
13548,Sales & Marketing,region_22,Master's & above,m,sourcing,2,39,1.0,3,0,0,56,0
13549,Sales & Marketing,region_13,Bachelor's,m,other,1,49,5.0,4,1,0,49,1
13550,Technology,region_2,Master's & above,m,other,1,48,1.0,24,0,0,79,0
13551,Sales & Marketing,region_5,Bachelor's,f,other,1,30,1.0,4,0,0,50,0
13552,Technology,region_25,Bachelor's,m,other,1,31,5.0,3,1,0,78,1
13553,Technology,region_2,Master's & above,m,other,2,44,2.0,5,0,0,83,0
13554,R&D,region_2,Bachelor's,m,sourcing,1,35,3.0,6,0,0,80,0
13555,Procurement,region_2,Bachelor's,f,other,1,42,4.0,11,1,0,70,0
13556,Procurement,region_19,Bachelor's,m,other,2,36,5.0,8,1,0,69,0
13557,Sales & Marketing,region_16,Bachelor's,m,other,1,52,3.0,19,0,0,48,0
13558,Legal,region_22,Master's & above,m,sourcing,1,37,1.0,9,1,0,60,0
13559,Technology,region_24,Bachelor's,f,sourcing,1,32,3.0,3,0,0,77,0
13560,Finance,region_6,Bachelor's,m,other,1,30,3.0,3,0,0,64,0
13561,Procurement,region_31,Bachelor's,m,other,1,37,5.0,3,1,0,67,1
13562,Procurement,region_5,Bachelor's,f,other,1,26,5.0,4,1,0,71,0
13563,Technology,region_22,Bachelor's,m,referred,1,26,3.0,2,1,0,84,0
13564,Finance,region_14,Master's & above,m,other,1,34,1.0,5,0,0,56,0
13565,Sales & Marketing,region_15,Bachelor's,m,other,1,23,5.0,2,1,0,48,0
13566,Technology,region_7,Bachelor's,f,other,1,25,3.0,4,0,0,75,0
13567,Operations,region_26,Bachelor's,m,sourcing,1,27,5.0,4,1,0,61,0
13568,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,32,3.0,7,1,0,45,0
13569,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,40,5.0,10,1,0,47,0
13570,Operations,region_23,Bachelor's,f,sourcing,1,33,2.0,6,0,0,61,0
13571,Sales & Marketing,region_20,Master's & above,m,other,1,30,1.0,1,0,0,53,0
13572,Operations,region_12,Bachelor's,m,sourcing,2,32,5.0,5,1,0,62,0
13573,Procurement,region_26,Master's & above,m,other,1,45,3.0,3,0,0,71,0
13574,Finance,region_4,Bachelor's,m,other,2,28,5.0,3,1,0,63,0
13575,Operations,region_32,Master's & above,f,other,1,40,3.0,9,0,0,60,0
13576,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,1.0,3,0,0,50,0
13577,HR,region_22,Master's & above,m,other,1,38,5.0,3,1,0,51,0
13578,Procurement,region_13,Bachelor's,f,other,1,31,3.0,7,0,0,69,0
13579,Operations,region_6,Bachelor's,f,other,1,28,5.0,2,1,0,61,0
13580,Sales & Marketing,region_19,Bachelor's,m,sourcing,2,35,1.0,4,0,0,50,0
13581,Procurement,region_7,Bachelor's,m,other,1,27,4.0,2,1,0,70,0
13582,Sales & Marketing,region_1,Master's & above,m,other,1,32,1.0,3,0,0,54,0
13583,Operations,region_22,Master's & above,f,sourcing,2,35,4.0,3,1,0,60,0
13584,Analytics,region_11,Master's & above,m,sourcing,1,33,1.0,8,0,0,86,0
13585,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,30,1.0,4,0,0,48,0
13586,Finance,region_29,Bachelor's,m,sourcing,1,31,3.0,2,0,0,62,0
13587,Procurement,region_13,Bachelor's,m,other,2,28,3.0,6,1,0,69,0
13588,Procurement,region_2,Master's & above,m,other,1,53,3.0,21,0,0,67,0
13589,Operations,region_27,Bachelor's,m,other,1,25,1.0,1,0,0,56,0
13590,Technology,region_2,Master's & above,m,other,2,36,3.0,7,0,0,82,0
13591,Finance,region_31,Bachelor's,m,other,1,28,3.0,2,0,0,58,0
13592,Operations,region_2,Bachelor's,f,other,1,31,3.0,3,1,0,59,0
13593,Sales & Marketing,region_22,Master's & above,m,other,1,32,2.0,4,0,0,51,0
13594,HR,region_2,Bachelor's,m,other,1,26,4.0,2,0,0,55,0
13595,Sales & Marketing,region_2,Bachelor's,f,other,3,54,1.0,3,0,0,52,0
13596,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,31,3.0,2,0,0,54,0
13597,Analytics,region_7,Master's & above,m,other,1,36,3.0,2,0,0,84,0
13598,Procurement,region_5,Bachelor's,m,other,1,25,2.0,3,0,0,72,0
13599,Analytics,region_7,Bachelor's,m,other,1,31,3.0,5,0,0,90,0
13600,Technology,region_5,Bachelor's,m,sourcing,2,34,2.0,7,0,0,77,0
13601,Analytics,region_5,Master's & above,m,other,1,36,1.0,8,0,0,85,0
13602,Procurement,region_17,Bachelor's,m,sourcing,1,48,3.0,6,1,0,67,0
13603,Operations,region_15,Bachelor's,m,other,2,31,5.0,4,0,0,58,0
13604,Operations,region_31,Bachelor's,m,other,2,28,4.0,3,1,0,58,0
13605,Operations,region_11,Master's & above,m,other,1,37,4.0,4,1,0,57,0
13606,Procurement,region_2,Master's & above,m,sourcing,1,37,3.0,10,0,0,67,0
13607,Operations,region_13,Bachelor's,m,other,1,39,5.0,8,1,0,58,0
13608,Procurement,region_4,Bachelor's,f,other,1,32,5.0,2,1,0,69,0
13609,Operations,region_2,Bachelor's,f,sourcing,1,42,4.0,6,0,0,60,0
13610,Operations,region_2,Master's & above,f,referred,1,35,3.0,7,0,0,62,0
13611,Technology,region_23,Bachelor's,f,other,1,30,5.0,6,0,0,82,1
13612,Technology,region_2,Bachelor's,f,sourcing,1,41,3.0,14,0,1,81,0
13613,Technology,region_2,Master's & above,f,other,2,32,5.0,7,1,0,77,0
13614,Sales & Marketing,region_23,Master's & above,m,other,1,32,1.0,5,0,0,56,0
13615,Sales & Marketing,region_7,Bachelor's,m,other,1,35,2.0,3,1,0,51,0
13616,Procurement,region_22,Bachelor's,f,sourcing,1,30,5.0,4,0,0,73,0
13617,Operations,region_14,Bachelor's,m,sourcing,1,32,3.0,8,0,0,59,0
13618,R&D,region_26,Bachelor's,m,other,1,35,1.0,6,0,0,87,0
13619,Sales & Marketing,region_13,Master's & above,m,sourcing,2,30,1.0,2,0,0,48,0
13620,Operations,region_15,Bachelor's,m,other,1,40,2.0,5,0,0,60,0
13621,Procurement,region_31,Bachelor's,f,other,1,34,5.0,9,1,0,71,0
13622,Procurement,region_5,Bachelor's,m,other,1,30,4.0,7,0,0,71,0
13623,Technology,region_31,Bachelor's,m,sourcing,2,25,3.0,2,0,0,80,0
13624,HR,region_23,Bachelor's,m,other,1,33,2.0,6,1,0,47,0
13625,Technology,region_22,Bachelor's,m,sourcing,2,34,4.0,8,1,0,81,1
13626,Sales & Marketing,region_22,Bachelor's,m,other,2,24,1.0,1,0,0,48,0
13627,Legal,region_2,Bachelor's,m,other,1,37,3.0,5,0,0,57,0
13628,Procurement,region_13,Bachelor's,f,other,1,30,1.0,1,1,0,70,0
13629,Finance,region_26,Bachelor's,m,sourcing,1,29,3.0,4,0,0,56,0
13630,Procurement,region_15,Bachelor's,m,sourcing,1,33,3.0,8,0,0,68,0
13631,Legal,region_2,Bachelor's,f,sourcing,1,34,3.0,10,0,0,59,0
13632,HR,region_2,Bachelor's,f,sourcing,1,27,1.0,1,1,0,50,0
13633,Procurement,region_4,Master's & above,m,other,1,34,3.0,3,0,0,73,0
13634,Sales & Marketing,region_13,Master's & above,m,other,1,46,2.0,7,0,0,48,0
13635,Sales & Marketing,region_7,Master's & above,m,other,4,33,1.0,7,0,0,50,0
13636,Technology,region_2,Bachelor's,m,other,1,41,1.0,12,0,0,78,0
13637,Analytics,region_22,Bachelor's,f,other,1,30,3.0,2,0,0,87,0
13638,Operations,region_13,Master's & above,f,other,1,41,3.0,12,0,0,57,0
13639,Operations,region_22,Bachelor's,m,sourcing,1,23,1.0,1,0,0,61,0
13640,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,37,2.0,9,0,0,48,0
13641,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,39,1.0,9,0,0,52,0
13642,Sales & Marketing,region_4,Master's & above,f,other,1,32,3.0,5,0,0,53,0
13643,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,37,5.0,6,1,0,53,1
13644,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,37,3.0,3,1,0,47,0
13645,Procurement,region_2,Bachelor's,f,other,4,36,3.0,5,0,0,70,0
13646,Finance,region_2,Below Secondary,f,other,1,23,1.0,1,0,0,57,0
13647,Finance,region_31,Bachelor's,m,other,1,36,3.0,4,0,0,61,0
13648,HR,region_2,Master's & above,m,other,1,55,5.0,9,1,0,54,0
13649,Analytics,region_2,Bachelor's,m,other,2,32,5.0,7,1,0,88,0
13650,Procurement,region_2,Bachelor's,f,sourcing,1,28,3.0,2,1,0,69,1
13651,Technology,region_24,Master's & above,f,sourcing,1,33,1.0,8,0,0,78,0
13652,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,37,1.0,8,0,0,50,0
13653,Sales & Marketing,region_15,Bachelor's,m,other,1,32,3.0,7,0,0,47,0
13654,Technology,region_7,Master's & above,f,sourcing,1,36,3.0,7,0,0,81,0
13655,Procurement,region_13,Master's & above,f,sourcing,1,33,3.0,7,1,0,69,1
13656,Technology,region_31,Bachelor's,f,other,1,32,2.0,4,0,1,96,1
13657,Sales & Marketing,region_2,Bachelor's,m,other,2,39,3.0,3,0,0,44,0
13658,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,31,4.0,6,1,0,52,0
13659,Sales & Marketing,region_23,Bachelor's,f,other,1,31,1.0,4,0,0,50,0
13660,Analytics,region_22,Master's & above,m,sourcing,1,30,3.0,3,1,0,83,0
13661,Operations,region_14,Master's & above,f,other,1,40,5.0,6,1,0,59,0
13662,Sales & Marketing,region_14,Bachelor's,m,other,1,39,4.0,10,0,0,49,0
13663,Operations,region_22,Master's & above,m,sourcing,1,33,4.0,9,0,0,58,0
13664,Operations,region_7,Bachelor's,m,sourcing,1,36,5.0,9,1,0,55,0
13665,Procurement,region_17,Bachelor's,f,sourcing,1,37,4.0,9,0,0,66,0
13666,Technology,region_11,Master's & above,f,other,2,31,3.0,8,0,0,83,0
13667,Operations,region_7,Bachelor's,f,other,1,33,3.0,10,0,0,59,0
13668,Operations,region_16,Master's & above,m,other,1,38,5.0,5,0,0,60,0
13669,Operations,region_11,Bachelor's,m,sourcing,1,25,4.0,2,0,0,61,0
13670,Analytics,region_2,Bachelor's,m,sourcing,1,46,5.0,5,1,0,82,0
13671,Sales & Marketing,region_15,Bachelor's,m,other,1,33,2.0,7,0,0,55,0
13672,Analytics,region_26,Bachelor's,m,sourcing,1,31,3.0,7,0,0,83,0
13673,HR,region_2,Below Secondary,f,sourcing,1,23,4.0,2,0,0,48,0
13674,Sales & Marketing,region_15,Master's & above,m,sourcing,1,33,3.0,7,0,0,51,0
13675,Sales & Marketing,region_22,Bachelor's,m,referred,1,27,3.0,3,1,0,48,0
13676,Sales & Marketing,region_2,Bachelor's,m,referred,1,30,3.0,2,1,0,49,0
13677,Procurement,region_2,Master's & above,f,sourcing,1,33,3.0,9,1,0,72,0
13678,HR,region_26,Bachelor's,m,other,1,27,2.0,3,0,0,48,0
13679,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,28,2.0,2,0,0,51,0
